Simplified,Traditional,Status,Interval
开,開,strong,310.087522
别人,別人,strong,190.992878
七,七,strong,284.040573
爸爸,爸爸,strong,268.604616
回来,回來,strong,205.365393
再见,再見,strong,82.992142
冷,冷,strong,81.27448
先生,先生,strong,130.596694
纽约,紐約,strong,35.569547
字,字,strong,19.494927
姓,姓,strong,18.981108
年,年,strong,268.901222
中午,中午,strong,278.152033
老师,老師,strong,256.721757
六,六,memorized,0.0
哪儿,哪兒,strong,286.526611
影,影,strong,127.203237
果汁,果汁,strong,203.645691
睡觉,睡覺,strong,259.745033
打电话,打電話,strong,243.96494
她,她,strong,257.292202
女儿,女兒,strong,256.916738
试,試,strong,79.144299
大哥,大哥,strong,87.875173
狗,狗,strong,251.633533
大姐,大姐,strong,262.605523
加州,加州,strong,56.115833
医生,醫生,strong,250.092504
律师,律師,strong,58.803282
久,久,strong,202.218922
晚饭,晚飯,strong,255.256577
大,大,memorized,41.0
位,位,strong,198.500617
猫,貓,strong,18.692053
可口可乐,可口可樂,strong,197.220094
请客,請客,strong,15.985474
事,事,strong,201.576204
视,視,strong,148.021616
好,好,strong,273.562801
朋友,朋友,strong,262.29336
漂亮,漂亮,strong,253.00014
汽水儿,汽水兒,strong,186.818243
照片,照片,strong,51.792354
不错,不錯,strong,254.251991
忙,忙,strong,204.431872
一点儿,一點兒,strong,289.180209
军人,軍人,weak,0.25
希腊文,希臘文,strong,85.418258
米饭,米飯,strong,260.947226
少,少,strong,272.648927
大学生,大學生,memorized,0.0
叫,叫,strong,280.289847
二姐,二姐,memorized,7.007383
中文,中文,memorized,0.0
